
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E8:94:F6:F2:F1:E1, 2019-10-29 13:51:48, 2019-10-29 14:19:23,  6,  54, WEP, WEP,SKA, -60,     3630,   253777,   0.  0.  0.  0,  20, to_break_educational, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
2C:6F:C9:45:A1:8D, 2019-10-29 14:18:05, 2019-10-29 14:18:05, -44,        2, E8:94:F6:F2:F1:E1,to_break_educational
94:65:9C:23:7D:FA, 2019-10-29 13:51:48, 2019-10-29 14:16:27, -35,     1380, E8:94:F6:F2:F1:E1,
5A:94:72:F7:0D:13, 2019-10-29 13:52:25, 2019-10-29 14:08:02, -54,      216, E8:94:F6:F2:F1:E1,
FC:01:7C:52:CD:69, 2019-10-29 13:56:45, 2019-10-29 14:02:12, -49,       22, E8:94:F6:F2:F1:E1,to_break_educational
34:78:D7:85:FF:7D, 2019-10-29 13:51:50, 2019-10-29 14:00:43, -48,       31, E8:94:F6:F2:F1:E1,
3C:15:C2:C4:47:70, 2019-10-29 13:52:10, 2019-10-29 13:56:02, -53,       34, E8:94:F6:F2:F1:E1,
F4:60:E2:BB:39:8C, 2019-10-29 13:51:52, 2019-10-29 13:57:10, -54,      450, E8:94:F6:F2:F1:E1,to_break_educational
48:9D:D1:46:09:93, 2019-10-29 13:51:48, 2019-10-29 13:57:19, -45,      657, E8:94:F6:F2:F1:E1,
50:82:D5:91:1B:32, 2019-10-29 13:51:54, 2019-10-29 13:58:10, -66,      211, E8:94:F6:F2:F1:E1,
C0:E8:62:3E:06:8A, 2019-10-29 13:51:48, 2019-10-29 14:03:42, -34,      188, E8:94:F6:F2:F1:E1,
70:1C:E7:F2:BB:47, 2019-10-29 13:57:48, 2019-10-29 14:09:20, -42,       33, E8:94:F6:F2:F1:E1,
00:22:44:66:88:99, 2019-10-29 13:55:39, 2019-10-29 14:11:57, -54,    15135, E8:94:F6:F2:F1:E1,
20:68:9D:14:E4:8A, 2019-10-29 14:17:20, 2019-10-29 14:17:32, -40,        5, E8:94:F6:F2:F1:E1,
9C:5C:F9:35:32:2A, 2019-10-29 14:17:43, 2019-10-29 14:17:43, -43,        2, E8:94:F6:F2:F1:E1,
02:A3:F9:A4:94:29, 2019-10-29 14:14:12, 2019-10-29 14:19:23, -57,     3237, E8:94:F6:F2:F1:E1,
AC:ED:5C:8D:CE:B7, 2019-10-29 13:51:55, 2019-10-29 14:19:23, -55,    58429, E8:94:F6:F2:F1:E1,
94:65:2D:B4:87:05, 2019-10-29 14:07:48, 2019-10-29 14:19:19, -60,      736, E8:94:F6:F2:F1:E1,
94:BF:2D:00:BF:53, 2019-10-29 14:01:49, 2019-10-29 14:19:23, -60,     1236, E8:94:F6:F2:F1:E1,
80:56:F2:54:4F:EB, 2019-10-29 14:03:16, 2019-10-29 14:19:23, -57,     1513, E8:94:F6:F2:F1:E1,
AC:2B:6E:15:66:D9, 2019-10-29 13:51:48, 2019-10-29 14:19:23, -48,    72553, E8:94:F6:F2:F1:E1,
4C:BB:58:0A:49:6E, 2019-10-29 13:52:06, 2019-10-29 14:19:23, -47,     1057, E8:94:F6:F2:F1:E1,
2C:33:61:1F:28:A8, 2019-10-29 13:51:59, 2019-10-29 14:19:00, -40,     1475, E8:94:F6:F2:F1:E1,
12:34:45:67:89:01, 2019-10-29 13:52:42, 2019-10-29 14:19:23,   0,  1172443, E8:94:F6:F2:F1:E1,

